
        OBJNO             RA            DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J              E              E              E              E              E              E
                                                                                                       
         4787   2.143544E+02   5.202172E+01   2.328725E+01   0.000000E+00   3.745281E+00   5.404358E+00
         5091   2.143339E+02   5.202039E+01   2.291403E+01  -1.127754E+01   2.205910E+00   0.000000E+00
        11382   2.143897E+02   5.202840E+01   2.428144E+01   3.000000E+01   6.650800E+00   4.575883E+00
        11414   2.143797E+02   5.207248E+01   2.353403E+01  -3.000000E+01   3.792281E+00   2.720759E+00
        11447   2.144092E+02   5.203627E+01   2.429305E+01   0.000000E+00   6.799756E+00   3.612195E+00
        11482   2.143910E+02   5.203221E+01   2.302111E+01   0.000000E+00   2.283823E+00   6.582110E+00
        11486   2.143965E+02   5.207673E+01   2.305245E+01  -3.000000E+01   7.246564E+00   3.299845E+00
        11515   2.143725E+02   5.204622E+01   2.280967E+01   0.000000E+00   4.036943E+00   2.737826E+00
        11780   2.143265E+02   5.207078E+01   2.267583E+01   0.000000E+00   2.890386E+00   3.434675E+00
        11842   2.143287E+02   5.206844E+01   2.403154E+01   3.341510E+00   4.469866E+00   8.919775E+00
        11867   2.143308E+02   5.205405E+01   2.398040E+01  -5.179099E+00   1.690091E+00   4.397929E+00
        11923   2.143445E+02   5.206373E+01   2.350236E+01   0.000000E+00   7.554101E+00   2.840040E+00
        11929   2.143238E+02   5.205735E+01   2.312530E+01   0.000000E+00   3.148919E+00   3.594430E+00
        11950   2.143675E+02   5.202563E+01   2.177959E+01   0.000000E+00   4.880477E+00   2.961748E+00
        11961   2.143318E+02   5.207483E+01   2.204008E+01   0.000000E+00   3.025411E+00   4.180924E+00
        11989   2.143243E+02   5.205116E+01   2.307977E+01   0.000000E+00   5.511617E+00   4.261108E+00
        12043   2.143611E+02   5.205513E+01   2.283246E+01   1.300472E+01   3.884390E+00   1.723789E+00
        12048   2.143165E+02   5.204441E+01   2.371582E+01   2.541732E+01   3.299039E+00   2.978028E+00
        12051   2.143588E+02   5.204271E+01   2.291837E+01   0.000000E+00   2.646850E+00   4.027173E+00
        12063   2.143462E+02   5.202392E+01   2.307706E+01   0.000000E+00   2.704328E+00   3.678608E+00
        12077   2.143115E+02   5.206200E+01   2.353011E+01   3.000000E+01   2.880968E+00   4.213411E+00
        12081   2.143315E+02   5.205940E+01   2.186489E+01   0.000000E+00   4.638700E+00   3.739386E+00
        12093   2.143257E+02   5.204878E+01   2.327271E+01  -1.047377E+01   3.794495E+00   4.664106E+00
        12104   2.143225E+02   5.204033E+01   2.236316E+01   0.000000E+00   4.042163E+00   7.298327E+00
        12112   2.143564E+02   5.203384E+01   2.320645E+01   0.000000E+00   4.621936E+00   3.093863E+00
        17979   2.143825E+02   5.213337E+01   2.386533E+01   0.000000E+00   2.834956E+00   3.649021E+00
        17985   2.143919E+02   5.212825E+01   2.406665E+01   0.000000E+00   2.050262E+00   3.043542E+00
        18041   2.143771E+02   5.212523E+01   2.341034E+01   0.000000E+00   1.829072E+00   1.624218E+00
        18084   2.143783E+02   5.213121E+01   2.275944E+01   0.000000E+00   3.596341E+00   1.786441E+00
        18114   2.143850E+02   5.210165E+01   2.350013E+01   2.166132E+01   1.196407E+01   2.497717E+00
        18261   2.143821E+02   5.212641E+01   2.326785E+01   3.000000E+01   3.061988E+00   1.914397E+00
        18271   2.143905E+02   5.211568E+01   2.298859E+01   0.000000E+00   5.226012E+00   2.436664E+00
        18426   2.143607E+02   5.210012E+01   2.332063E+01   0.000000E+00   2.509180E+00   3.570611E+00
        18438   2.143263E+02   5.208714E+01   2.386169E+01   0.000000E+00   1.944222E+00   1.472888E+00
        18528   2.143594E+02   5.211864E+01   2.320855E+01   0.000000E+00   5.364150E+00   4.916994E+00
        18557   2.143343E+02   5.211433E+01   2.433245E+01   0.000000E+00   1.938519E+00   2.646417E+00
        18568   2.143636E+02   5.209809E+01   2.329819E+01   0.000000E+00   3.235298E+00   1.727464E+00
        18579   2.143580E+02   5.208221E+01   2.341805E+01  -1.638857E+00   6.370467E+00   2.642425E+00
        18701   2.143704E+02   5.212416E+01   2.266610E+01  -3.000000E+01   1.720997E+00   3.870821E+00
        18765   2.143454E+02   5.210831E+01   2.358278E+01   0.000000E+00   3.728279E+00   1.152733E+01
        18775   2.143627E+02   5.209700E+01   2.286320E+01   0.000000E+00   1.700149E+00   1.533087E+01
        18783   2.143581E+02   5.208836E+01   2.319953E+01   0.000000E+00   1.526044E+01   1.950309E+00
        18809   2.143429E+02   5.212952E+01   2.174823E+01   0.000000E+00   3.797238E+00   2.050262E+00
