# OBJNO  RA    DEC     MAGR   SLITPA    TOPDIST    BOTDIST
#  J    E      E      E      E      E      E
 5747 2.141458E+02 5.202030E+01 2.388775E+01  0.000000 1.585788 1.954132
 5865 2.141453E+02 5.201908E+01 2.374357E+01  0.000000 2.137336 .6665039
 6129 2.141082E+02 5.202226E+01 2.362749E+01  0.000000 4.089600 1.995331
 6132 2.141467E+02 5.202102E+01 2.235167E+01  0.000000 1.995331 1.651004
12424 2.141910E+02 5.206179E+01 2.344863E+01  0.000000 2.482849 1.686340
12736 2.141701E+02 5.204234E+01 2.396136E+01  0.000000 2.963501 1.686340
12758 2.141299E+02 5.206440E+01 2.247425E+01  0.000000 4.206329 1.713806
12776 2.141740E+02 5.205030E+01 2.454556E+01  22.16394 4.371124 2.345520
12779 2.141656E+02 5.204767E+01 2.383836E+01  0.000000 1.892334 2.771240
12803 2.141703E+02 5.203172E+01 2.398793E+01 -30.00000 2.936035 2.290588
12833 2.141584E+02 5.207846E+01 2.369333E+01  0.000000 2.125793 2.530914
12836 2.141007E+02 5.207570E+01 2.418633E+01  0.000000 1.940399 3.801208
12838 2.141199E+02 5.207345E+01 2.392487E+01  0.000000 3.801208 2.084595
12870 2.141202E+02 5.202822E+01 2.408562E+01  0.000000 3.519684 3.306824
12873 2.141816E+02 5.202624E+01 2.332068E+01  30.00000 3.306824 2.572113
12874 2.141472E+02 5.202467E+01 2.255457E+01  0.000000 2.572113 4.089600
12888 2.141751E+02 5.207215E+01 2.297298E+01  0.000000 2.084595 1.529501
12893 2.141447E+02 5.206805E+01 2.375753E+01  0.000000 2.592712 1.858002
12906 2.141315E+02 5.205830E+01 2.375756E+01  0.000000 4.089600 2.057129
12911 2.141279E+02 5.205287E+01 2.377157E+01  0.000000 3.512817 4.371124
12964 2.141298E+02 5.205702E+01 2.209620E+01  0.000000 2.057129 3.457886
12987 2.141391E+02 5.207978E+01 2.243628E+01  0.000000 11.73196 2.125793
12991 2.141186E+02 5.207692E+01 2.280639E+01  0.000000 2.530914 1.940399
13006 2.141766E+02 5.206688E+01 2.321471E+01  0.000000 1.858002 4.206329
13010 2.141334E+02 5.206071E+01 2.294123E+01 -30.00000 1.686340 4.089600
13017 2.141558E+02 5.205496E+01 2.245236E+01 -30.00000 3.457886 3.512817
13036 2.141236E+02 5.204413E+01 2.264388E+01  0.000000 3.107697 2.963501
13038 2.141449E+02 5.204127E+01 2.356197E+01  0.000000 1.686340 5.153900
13042 2.141373E+02 5.203523E+01 2.357931E+01  0.000000 5.208832 2.881104
13046 2.141580E+02 5.203349E+01 2.269217E+01  0.000000 2.881104 2.936035
13070 2.141126E+02 5.206331E+01 2.212193E+01  0.000000 1.713806 2.482849
13084 2.141402E+02 5.203827E+01 2.218486E+01  0.000000 5.153900 5.208832
13086 2.141433E+02 5.203031E+01 2.265495E+01  0.000000 2.290588 3.519684
13103 2.141155E+02 5.207094E+01 2.280357E+01  28.40226 -0.9288330 2.112061
13104 2.141210E+02 5.206963E+01 2.326815E+01 -0.5322852 2.112061 2.592712
13137 2.141251E+02 5.204886E+01 2.224273E+01  0.000000 2.345520 1.892334
13140 2.141491E+02 5.204599E+01 2.313062E+01  0.000000 2.771240 3.107697
19381 2.141936E+02 5.212001E+01 2.339239E+01  0.000000 2.372986 2.297455
19412 2.141882E+02 5.212625E+01 2.386578E+01 -30.00000 2.421051 3.245026
19649 2.141168E+02 5.213470E+01 2.423271E+01 -30.00000 5.854279 1.809937
19692 2.141450E+02 5.213356E+01 2.456377E+01  0.000000 1.809937 3.128296
19797 2.141606E+02 5.212431E+01 2.391088E+01 -11.19399 3.245026 4.858643
19808 2.141606E+02 5.210793E+01 2.321412E+01  0.000000 4.000336 1.294952
19881 2.141475E+02 5.210479E+01 2.311483E+01  22.01737 3.863007 2.354140
19897 2.141501E+02 5.209657E+01 2.415935E+01  7.253774 4.480988 6.362396
19922 2.141416E+02 5.211746E+01 2.449122E+01  18.51975 1.789337 4.879242
19971 2.141563E+02 5.208850E+01 2.426780E+01 -16.33634 2.434784 3.457886
19973 2.141292E+02 5.208644E+01 2.367723E+01  0.000000 3.457886 11.73196
20007 2.141306E+02 5.211029E+01 2.387223E+01  0.000000 2.606445 4.000336
20013 2.141398E+02 5.210214E+01 2.290826E+01  0.000000 2.153259 5.044037
20037 2.141586E+02 5.211188E+01 2.318120E+01 -30.00000 4.673248 2.606445
