
        OBJNO                   RA                  DEC           MAGR         SLITPA        TOPDIST        BOTDIST
            J                    D                    D              E              E              E              E
                                                                                                                   
      3102578   3.516843566895E+02  -9.996508806944E-02   2.282935E+01   1.640445E+00   4.214709E+00   6.724731E+01
      3102726   3.516926574707E+02  -9.760795533657E-02   2.274203E+01   0.000000E+00   2.125662E+00   3.524305E+00
      3102378   3.516978149414E+02  -9.611419588327E-02   2.214293E+01   3.000000E+01   3.601377E+00   2.614115E+00
      3102723   3.516901550293E+02  -9.419088065624E-02   2.202936E+01   0.000000E+00   2.580576E+00   3.030672E+00
      3102681   3.516865234375E+02  -9.261846542358E-02   2.362724E+01   3.000000E+01   5.673889E+00   2.681204E+00
      3102718   3.516867370605E+02  -8.922606706619E-02   2.282803E+01   0.000000E+00   3.832474E+00   6.027680E+00
      3102720   3.516827392578E+02  -9.111357480288E-02   2.320160E+01   3.000000E+01   3.564358E+00   4.261611E+00
      3102366   3.517085571289E+02  -8.465333282948E-02   2.359868E+01   0.000000E+00   1.422989E+00   3.284854E+00
      3102678   3.516943664551E+02  -8.381211757660E-02   1.909320E+01   0.000000E+00   2.289456E+00   1.422989E+00
      3102604   3.516906433105E+02  -8.244894444942E-02   2.292117E+01   0.000000E+00   3.639315E+00   2.208133E+00
      3102706   3.516864318848E+02  -8.024137467146E-02   2.210050E+01   0.000000E+00   4.881687E+00   3.909544E+00
      3102331   3.517115173340E+02  -7.727876305580E-02   2.269963E+01   0.000000E+00   2.735255E+00   4.741940E+00
      3102357   3.517021484375E+02  -7.548621296883E-02   2.256713E+01   1.191079E+01   2.592671E+00   3.401921E+00
      3102355   3.517071838379E+02  -7.394108176231E-02   2.130875E+01   0.000000E+00   7.024462E+00   2.375225E+00
      3102351   3.517141723633E+02  -6.982494145632E-02   2.187804E+01   0.000000E+00   1.540909E+00   7.184553E+00
      3102350   3.517117309570E+02  -6.884193420410E-02   2.201046E+01   0.000000E+00   7.392221E+00   1.540909E+00
      3102514   3.516684265137E+02  -6.479562819004E-02   2.397876E+01   0.000000E+00   2.098590E+00   7.565725E+00
      3102688   3.516904602051E+02  -6.326322257519E-02   2.377002E+01   0.000000E+00   3.674446E+00   2.417157E+00
      3102660   3.516960144043E+02  -6.113282218575E-02   2.386466E+01   0.000000E+00   1.997279E+00   3.386284E+00
      3107714   3.517214355469E+02  -5.978722125292E-02   2.075121E+01   0.000000E+00   1.733337E+00   1.956853E+00
      3107712   3.517081604004E+02  -5.873779579997E-02   2.230412E+01   0.000000E+00   7.322783E+00   1.733337E+00
      3107668   3.517099914551E+02  -5.450679734349E-02   2.357117E+01   0.000000E+00   4.387917E+00   7.389771E+00
      3107708   3.517069091797E+02  -5.217926204205E-02   2.264364E+01   0.000000E+00   1.656372E+00   3.537971E+00
      3107780   3.517153625488E+02  -5.108979716897E-02   2.197495E+01   0.000000E+00   5.242435E+00   1.656372E+00
      3107772   3.517277526855E+02  -4.799861460924E-02   2.295270E+01  -3.037158E+00   3.689678E+00   5.261487E+00
      3107900   3.516935119629E+02  -4.630243778229E-02   2.371040E+01   0.000000E+00   1.776753E+00   2.342655E+00
      3108142   3.516933593750E+02  -4.488334059715E-02   2.276863E+01   0.000000E+00   1.991684E+00   2.831127E+00
      3107764   3.517277526855E+02  -4.352565482259E-02   2.117239E+01   0.000000E+00   7.756042E+00   1.991684E+00
      3107760   3.517039489746E+02  -3.919607773423E-02   2.133999E+01   2.911784E+01   2.960281E+00   7.588792E+00
      3107703   3.516976623535E+02  -3.762368857861E-02   2.394069E+01   0.000000E+00   3.585665E+00   2.274750E+00
      3108184   3.516937561035E+02  -3.533479571342E-02   2.367099E+01   0.000000E+00   3.426166E+00   4.197783E+00
      3108235   3.516692504883E+02  -3.350074589252E-02   2.112258E+01   0.000000E+00   4.369905E+00   3.000256E+00
      3107748   3.517052001953E+02  -3.073557652533E-02   2.373842E+01   0.000000E+00   2.478230E+00   4.629439E+00
      3107745   3.517001342773E+02  -2.938121929765E-02   2.424220E+01   0.000000E+00   5.360103E+00   1.946865E+00
      3108224   3.516943664551E+02  -2.620919421315E-02   2.326780E+01  -3.000000E+01   4.642612E+00   5.610997E+00
      3107739   3.517246093750E+02  -2.332160994411E-02   2.399577E+01  -3.000000E+01   2.752843E+00   5.011243E+00
      3107574   3.517002868652E+02  -2.185415662825E-02   2.328585E+01   0.000000E+00   2.502414E+00   2.208720E+00
      3108159   3.516832580566E+02  -2.012043632567E-02   2.286305E+01   0.000000E+00   3.317807E+00   3.385266E+00
      3107596   3.516977233887E+02  -1.828937232494E-02   2.268264E+01   0.000000E+00   4.619071E+00   2.642368E+00
      3107959   3.516883239746E+02  -1.551382336766E-02   2.394659E+01   3.000000E+01   3.622025E+00   4.937492E+00
      3107625   3.517145996094E+02  -1.334604714066E-02   2.382464E+01  -3.000000E+01   2.116594E+00   3.506637E+00
      3107725   3.517082824707E+02  -1.217585429549E-02   2.202737E+01   0.000000E+00   3.986409E+00   1.631453E+00
      3107685   3.517170715332E+02  -9.626415558159E-03   2.221313E+01   0.000000E+00   2.228788E+00   4.650279E+00
      3107621   3.516980590820E+02  -8.479437790811E-03   2.368459E+01   0.000000E+00   1.589217E+00   1.494448E+00
      3107994   3.516896667480E+02  -7.404244504869E-03   2.417548E+01   0.000000E+00   1.662521E+00   1.824731E+00
      3107438   3.517180480957E+02  -6.364446599036E-03   2.347343E+01   0.000000E+00   3.497679E+00   1.445572E+00
      3107435   3.517191467285E+02  -4.254591651261E-03   2.418890E+01   0.000000E+00   2.494240E+00   3.598192E+00
      3107716   3.517056579590E+02  -2.707110950723E-03   2.271926E+01   0.000000E+00   1.142389E+01   2.626049E+00
      3114424   3.517158813477E+02   3.808708395809E-03   2.126175E+01   0.000000E+00   2.440693E+00   1.150712E+01
      3114492   3.517085266113E+02   5.626702215523E-03   2.128055E+01   0.000000E+00   3.186827E+00   3.619953E+00
      3115004   3.516972961426E+02   7.360956631601E-03   2.351501E+01   1.731300E+01   1.376447E+00   2.574951E+00
      3114490   3.517137451172E+02   8.271540515125E-03   2.328135E+01  -1.592333E+01   2.339611E+00   1.376447E+00
      3114488   3.517215881348E+02   9.711812250316E-03   2.312469E+01   0.000000E+00   1.693225E+00   2.339611E+00
      3114701   3.516763610840E+02   1.077894307673E-02   2.179622E+01   0.000000E+00   2.712085E+00   1.693225E+00
      3114835   3.516933593750E+02   1.247633900493E-02   2.292978E+01   3.000000E+01   8.679148E+00   2.874301E+00
      3102659   3.516767272949E+02  -6.019918248057E-02   2.102208E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107741   3.517137451172E+02  -2.624609880149E-02   2.449102E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102658   3.516853027344E+02  -8.384644985199E-02   2.200235E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102636   3.516872253418E+02  -8.255115896463E-02   2.315957E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102632   3.516949462891E+02  -7.962013781071E-02   2.347308E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102613   3.516808166504E+02  -6.032004207373E-02   2.265124E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3107768   3.517088928223E+02  -4.476618394256E-02   2.341293E+01   0.000000E+00   0.000000E+00   0.000000E+00
      3102574   3.516898498535E+02  -9.571071714163E-02   2.353229E+01   0.000000E+00   0.000000E+00   0.000000E+00
